"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","1575","Movement Zone 1575","9/1/2019 - 9/1/2019, Every day, Daily Average",1091,686,1732
"4946","Movement Zone 4946","1576","Movement Zone 1576","9/1/2019 - 9/1/2019, Every day, Daily Average",1058,660,1695
"4946","Movement Zone 4946","1577","Movement Zone 1577","9/1/2019 - 9/1/2019, Every day, Daily Average",629,427,926
"4946","Movement Zone 4946","1578","Movement Zone 1578","9/1/2019 - 9/1/2019, Every day, Daily Average",747,570,978
"4946","Movement Zone 4946","1579","Movement Zone 1579","9/1/2019 - 9/1/2019, Every day, Daily Average",1498,1247,1798
"4946","Movement Zone 4946","1580","Movement Zone 1580","9/1/2019 - 9/1/2019, Every day, Daily Average",1392,1134,1707
"4946","Movement Zone 4946","1581","Movement Zone 1581","9/1/2019 - 9/1/2019, Every day, Daily Average",1430,1217,1679
"4946","Movement Zone 4946","1582","Movement Zone 1582","9/1/2019 - 9/1/2019, Every day, Daily Average",1604,1310,1963
"4946","Movement Zone 4946","1583","Movement Zone 1583","9/1/2019 - 9/1/2019, Every day, Daily Average",2296,1709,3084
"4946","Movement Zone 4946","1584","Movement Zone 1584","9/1/2019 - 9/1/2019, Every day, Daily Average",421,298,594
"4946","Movement Zone 4946","1585","Movement Zone 1585","9/1/2019 - 9/1/2019, Every day, Daily Average",1413,1090,1830
"4946","Movement Zone 4946","1586","Movement Zone 1586","9/1/2019 - 9/1/2019, Every day, Daily Average",1525,1313,1771
"4946","Movement Zone 4946","1587","Movement Zone 1587","9/1/2019 - 9/1/2019, Every day, Daily Average",921,722,1173
"4946","Movement Zone 4946","1588","Movement Zone 1588","9/1/2019 - 9/1/2019, Every day, Daily Average",1059,779,1439
"4946","Movement Zone 4946","1589","Movement Zone 1589","9/1/2019 - 9/1/2019, Every day, Daily Average",1556,1302,1858
"4946","Movement Zone 4946","1590","Movement Zone 1590","9/1/2019 - 9/1/2019, Every day, Daily Average",995,739,1338
"4946","Movement Zone 4946","1591","Movement Zone 1591","9/1/2019 - 9/1/2019, Every day, Daily Average",542,339,864
"4946","Movement Zone 4946","1592","Movement Zone 1592","9/1/2019 - 9/1/2019, Every day, Daily Average",987,772,1260
"4946","Movement Zone 4946","1593","Movement Zone 1593","9/1/2019 - 9/1/2019, Every day, Daily Average",518,379,707
"4946","Movement Zone 4946","1594","Movement Zone 1594","9/1/2019 - 9/1/2019, Every day, Daily Average",687,509,927
"4946","Movement Zone 4946","1596","Movement Zone 1596","9/1/2019 - 9/1/2019, Every day, Daily Average",490,355,675
"4946","Movement Zone 4946","1597","Movement Zone 1597","9/1/2019 - 9/1/2019, Every day, Daily Average",558,353,880
"4946","Movement Zone 4946","1598","Movement Zone 1598","9/1/2019 - 9/1/2019, Every day, Daily Average",1065,826,1371
"4946","Movement Zone 4946","1599","Movement Zone 1599","9/1/2019 - 9/1/2019, Every day, Daily Average",1453,1139,1852
