"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","691","Movement Zone 691","9/2/2019 - 9/2/2019, Every day, Daily Average",2006,1611,2497
"4946","Movement Zone 4946","692","Movement Zone 692","9/2/2019 - 9/2/2019, Every day, Daily Average",1907,1503,2419
"4946","Movement Zone 4946","693","Movement Zone 693","9/2/2019 - 9/2/2019, Every day, Daily Average",1869,1425,2450
"4946","Movement Zone 4946","700","Movement Zone 700","9/2/2019 - 9/2/2019, Every day, Daily Average",1899,1688,2135
"4946","Movement Zone 4946","708","Movement Zone 708","9/2/2019 - 9/2/2019, Every day, Daily Average",2487,1842,3356
"4946","Movement Zone 4946","710","Movement Zone 710","9/2/2019 - 9/2/2019, Every day, Daily Average",2463,1910,3174
"4946","Movement Zone 4946","721","Movement Zone 721","9/2/2019 - 9/2/2019, Every day, Daily Average",2066,1895,2252
"4946","Movement Zone 4946","730","Movement Zone 730","9/2/2019 - 9/2/2019, Every day, Daily Average",2314,1812,2954
"4946","Movement Zone 4946","731","Movement Zone 731","9/2/2019 - 9/2/2019, Every day, Daily Average",2306,1834,2898
"4946","Movement Zone 4946","732","Movement Zone 732","9/2/2019 - 9/2/2019, Every day, Daily Average",1509,1207,1885
"4946","Movement Zone 4946","733","Movement Zone 733","9/2/2019 - 9/2/2019, Every day, Daily Average",2777,2513,3067
"4946","Movement Zone 4946","734","Movement Zone 734","9/2/2019 - 9/2/2019, Every day, Daily Average",1838,1458,2315
"4946","Movement Zone 4946","742","Movement Zone 742","9/2/2019 - 9/2/2019, Every day, Daily Average",2828,2182,3664
"4946","Movement Zone 4946","743","Movement Zone 743","9/2/2019 - 9/2/2019, Every day, Daily Average",1519,1198,1925
"4946","Movement Zone 4946","744","Movement Zone 744","9/2/2019 - 9/2/2019, Every day, Daily Average",2042,1635,2550
"4946","Movement Zone 4946","748","Movement Zone 748","9/2/2019 - 9/2/2019, Every day, Daily Average",1586,1207,2082
"4946","Movement Zone 4946","753","Movement Zone 753","9/2/2019 - 9/2/2019, Every day, Daily Average",1304,993,1711
"4946","Movement Zone 4946","754","Movement Zone 754","9/2/2019 - 9/2/2019, Every day, Daily Average",1094,809,1478
"4946","Movement Zone 4946","759","Movement Zone 759","9/2/2019 - 9/2/2019, Every day, Daily Average",2342,1831,2994
"4946","Movement Zone 4946","761","Movement Zone 761","9/2/2019 - 9/2/2019, Every day, Daily Average",2092,1668,2622
"4946","Movement Zone 4946","762","Movement Zone 762","9/2/2019 - 9/2/2019, Every day, Daily Average",1711,1333,2194
"4946","Movement Zone 4946","764","Movement Zone 764","9/2/2019 - 9/2/2019, Every day, Daily Average",2203,1754,2765
"4946","Movement Zone 4946","765","Movement Zone 765","9/2/2019 - 9/2/2019, Every day, Daily Average",1324,1008,1738
"4946","Movement Zone 4946","766","Movement Zone 766","9/2/2019 - 9/2/2019, Every day, Daily Average",1280,972,1685
"4946","Movement Zone 4946","767","Movement Zone 767","9/2/2019 - 9/2/2019, Every day, Daily Average",1476,1121,1942
"4946","Movement Zone 4946","768","Movement Zone 768","9/2/2019 - 9/2/2019, Every day, Daily Average",845,553,1289
"4946","Movement Zone 4946","769","Movement Zone 769","9/2/2019 - 9/2/2019, Every day, Daily Average",1082,829,1410
"4946","Movement Zone 4946","775","Movement Zone 775","9/2/2019 - 9/2/2019, Every day, Daily Average",1566,1197,2047
